"...1","country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region","AreaName","Value","Count","Denominator","Time period","Age","Sex","Area Type","area_type"
489,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2017,19.075,11.907,20.087,94,93,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",116.6436,80,68585,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
490,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2017,19.075,11.907,20.087,94,93,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",166.6898,60,35995,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
491,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2017,19.075,11.907,20.087,94,93,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",61.3685,20,32590,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
492,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2018,20.591,12.639,18.189,97,96,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",116.6436,80,68585,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
493,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2018,20.591,12.639,18.189,97,96,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",166.6898,60,35995,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
494,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2018,20.591,12.639,18.189,97,96,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",61.3685,20,32590,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
495,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2019,18.909,12.37,18.466,98,95,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",116.6436,80,68585,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
496,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2019,18.909,12.37,18.466,98,95,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",166.6898,60,35995,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
497,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2019,18.909,12.37,18.466,98,95,97,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",61.3685,20,32590,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
498,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2013,20.477,14.892,19.899,97,92,83,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",116.6436,80,68585,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
499,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2013,20.477,14.892,19.899,97,92,83,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",166.6898,60,35995,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
500,"United Kingdom of Great Britain and Northern Ireland","Medway/GBR",2013,20.477,14.892,19.899,97,92,83,"Rural, Urban",277736,51.41525,0.59145,1,"Medway","South East","Medway",61.3685,20,32590,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
501,"United Kingdom of Great Britain and Northern Ireland","Wirral/GBR",2020,11.485,7.087,14.307,99,99,91,"Urban, Urban",324336,53.3806905,-3.023868,1,"Wirral","North West","Wirral",93.833,65,69272,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
502,"United Kingdom of Great Britain and Northern Ireland","Wirral/GBR",2020,11.485,7.087,14.307,99,99,91,"Urban, Urban",324336,53.3806905,-3.023868,1,"Wirral","North West","Wirral",130.2837,45,34540,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
503,"United Kingdom of Great Britain and Northern Ireland","Wirral/GBR",2020,11.485,7.087,14.307,99,99,91,"Urban, Urban",324336,53.3806905,-3.023868,1,"Wirral","North West","Wirral",71.9797,25,34732,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
504,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2015,NA,NA,43.213,NA,NA,68,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",184.7932,275,148815,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
505,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2015,NA,NA,43.213,NA,NA,68,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",259.4016,195,75173,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
506,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2015,NA,NA,43.213,NA,NA,68,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",115.4233,85,73642,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
507,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2016,NA,NA,46.083,NA,NA,98,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",184.7932,275,148815,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
508,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2016,NA,NA,46.083,NA,NA,98,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",259.4016,195,75173,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
509,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2016,NA,NA,46.083,NA,NA,98,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",115.4233,85,73642,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
510,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2017,NA,NA,42.377,NA,NA,95,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",184.7932,275,148815,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
511,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2017,NA,NA,42.377,NA,NA,95,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",259.4016,195,75173,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
512,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2017,NA,NA,42.377,NA,NA,95,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",115.4233,85,73642,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
513,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2018,NA,NA,43.47,NA,NA,97,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",184.7932,275,148815,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
514,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2018,NA,NA,43.47,NA,NA,97,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",259.4016,195,75173,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
515,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2018,NA,NA,43.47,NA,NA,97,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",115.4233,85,73642,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
516,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2019,NA,NA,41.838,NA,NA,96,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",184.7932,275,148815,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
517,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2019,NA,NA,41.838,NA,NA,96,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",259.4016,195,75173,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
518,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2019,NA,NA,41.838,NA,NA,96,"Urban",535987,53.7712,-1.7598,1,"Bradford","Yorkshire and The Humber","Bradford",115.4233,85,73642,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
519,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2020,NA,NA,34.39,NA,NA,81,"Urban",542128,53.771245,-1.759774,1,"Bradford","Yorkshire and The Humber","Bradford",184.7932,275,148815,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
520,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2020,NA,NA,34.39,NA,NA,81,"Urban",542128,53.771245,-1.759774,1,"Bradford","Yorkshire and The Humber","Bradford",259.4016,195,75173,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
521,"United Kingdom of Great Britain and Northern Ireland","Bradford/GBR",2020,NA,NA,34.39,NA,NA,81,"Urban",542128,53.771245,-1.759774,1,"Bradford","Yorkshire and The Humber","Bradford",115.4233,85,73642,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
522,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2015,NA,NA,27.276,NA,NA,65,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",95.0153,65,68410,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
523,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2015,NA,NA,27.276,NA,NA,65,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",141.6993,50,35286,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
524,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2015,NA,NA,27.276,NA,NA,65,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",45.2844,15,33124,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
525,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2016,NA,NA,29.344,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",95.0153,65,68410,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
526,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2016,NA,NA,29.344,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",141.6993,50,35286,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
527,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2016,NA,NA,29.344,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",45.2844,15,33124,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
528,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2017,NA,NA,25.706,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",95.0153,65,68410,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
529,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2017,NA,NA,25.706,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",141.6993,50,35286,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
530,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2017,NA,NA,25.706,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",45.2844,15,33124,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
531,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2018,NA,NA,28.898,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",95.0153,65,68410,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
532,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2018,NA,NA,28.898,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",141.6993,50,35286,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
533,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2018,NA,NA,28.898,NA,NA,99,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",45.2844,15,33124,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
534,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2019,NA,NA,30.105,NA,NA,98,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",95.0153,65,68410,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
535,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2019,NA,NA,30.105,NA,NA,98,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",141.6993,50,35286,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
536,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2019,NA,NA,30.105,NA,NA,98,"Urban",309741,53.5182,-1.1381,1,"Doncaster","Yorkshire and The Humber","Doncaster",45.2844,15,33124,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
537,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2020,NA,NA,23.534,NA,NA,98,"Urban",312785,53.51824,-1.138057,1,"Doncaster","Yorkshire and The Humber","Doncaster",95.0153,65,68410,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
538,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2020,NA,NA,23.534,NA,NA,98,"Urban",312785,53.51824,-1.138057,1,"Doncaster","Yorkshire and The Humber","Doncaster",141.6993,50,35286,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
539,"United Kingdom of Great Britain and Northern Ireland","Doncaster/GBR",2020,NA,NA,23.534,NA,NA,98,"Urban",312785,53.51824,-1.138057,1,"Doncaster","Yorkshire and The Humber","Doncaster",45.2844,15,33124,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
540,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2015,NA,NA,34.671,NA,NA,47,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",137.8217,40,29023,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
541,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2015,NA,NA,34.671,NA,NA,47,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",205.3388,30,14610,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
542,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2015,NA,NA,34.671,NA,NA,47,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",69.3818,10,14413,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
543,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2016,NA,NA,43.823,NA,NA,91,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",137.8217,40,29023,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
544,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2016,NA,NA,43.823,NA,NA,91,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",205.3388,30,14610,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
545,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2016,NA,NA,43.823,NA,NA,91,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",69.3818,10,14413,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
546,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2017,NA,NA,34.71,NA,NA,85,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",137.8217,40,29023,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
547,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2017,NA,NA,34.71,NA,NA,85,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",205.3388,30,14610,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
548,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2017,NA,NA,34.71,NA,NA,85,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",69.3818,10,14413,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
549,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2018,NA,NA,44.852,NA,NA,17,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",137.8217,40,29023,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
550,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2018,NA,NA,44.852,NA,NA,17,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",205.3388,30,14610,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
551,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2018,NA,NA,44.852,NA,NA,17,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",69.3818,10,14413,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
552,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2019,NA,NA,33.945,NA,NA,83,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",137.8217,40,29023,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
553,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2019,NA,NA,33.945,NA,NA,83,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",205.3388,30,14610,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
554,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2019,NA,NA,33.945,NA,NA,83,"Urban",128014,53.3654,-2.7317,1,"Halton","North West","Halton",69.3818,10,14413,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
555,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2020,NA,NA,24.288,NA,NA,99,"Urban",129759,53.365391,-2.73168,1,"Halton","North West","Halton",137.8217,40,29023,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
556,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2020,NA,NA,24.288,NA,NA,99,"Urban",129759,53.365391,-2.73168,1,"Halton","North West","Halton",205.3388,30,14610,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
557,"United Kingdom of Great Britain and Northern Ireland","Halton/GBR",2020,NA,NA,24.288,NA,NA,99,"Urban",129759,53.365391,-2.73168,1,"Halton","North West","Halton",69.3818,10,14413,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Rural"
558,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2015,NA,NA,44.563,NA,NA,80,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",216.419,135,62379,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
559,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2015,NA,NA,44.563,NA,NA,80,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",242.586,80,32978,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
560,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2015,NA,NA,44.563,NA,NA,80,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",187.0685,55,29401,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
561,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2016,NA,NA,49.751,NA,NA,99,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",216.419,135,62379,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
562,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2016,NA,NA,49.751,NA,NA,99,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",242.586,80,32978,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
563,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2016,NA,NA,49.751,NA,NA,99,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",187.0685,55,29401,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
564,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2017,NA,NA,44.434,NA,NA,97,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",216.419,135,62379,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
565,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2017,NA,NA,44.434,NA,NA,97,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",242.586,80,32978,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
566,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2017,NA,NA,44.434,NA,NA,97,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",187.0685,55,29401,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
567,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2018,NA,NA,42.857,NA,NA,99,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",216.419,135,62379,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
568,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2018,NA,NA,42.857,NA,NA,99,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",242.586,80,32978,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
569,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2018,NA,NA,42.857,NA,NA,99,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",187.0685,55,29401,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
570,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2019,NA,NA,39.322,NA,NA,97,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",216.419,135,62379,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
571,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2019,NA,NA,39.322,NA,NA,97,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",242.586,80,32978,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
572,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2019,NA,NA,39.322,NA,NA,97,"Urban",214384,51.8923,-0.4621,1,"Luton","East of England","Luton",187.0685,55,29401,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
573,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2020,NA,NA,30.736,NA,NA,97,"Urban",213528,51.892293,-0.46211,1,"Luton","East of England","Luton",216.419,135,62379,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
574,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2020,NA,NA,30.736,NA,NA,97,"Urban",213528,51.892293,-0.46211,1,"Luton","East of England","Luton",242.586,80,32978,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
575,"United Kingdom of Great Britain and Northern Ireland","Luton/GBR",2020,NA,NA,30.736,NA,NA,97,"Urban",213528,51.892293,-0.46211,1,"Luton","East of England","Luton",187.0685,55,29401,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
576,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2017,NA,NA,36.862,NA,NA,94,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",63.745,40,62750,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
577,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2017,NA,NA,36.862,NA,NA,94,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",77.7436,25,32157,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
578,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2017,NA,NA,36.862,NA,NA,94,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",49.0308,15,30593,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
579,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2018,NA,NA,36.053,NA,NA,100,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",63.745,40,62750,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
580,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2018,NA,NA,36.053,NA,NA,100,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",77.7436,25,32157,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
581,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2018,NA,NA,36.053,NA,NA,100,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",49.0308,15,30593,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
582,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2019,NA,NA,35.011,NA,NA,98,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",63.745,40,62750,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
583,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2019,NA,NA,35.011,NA,NA,98,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",77.7436,25,32157,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
584,"United Kingdom of Great Britain and Northern Ireland","Derby/GBR",2019,NA,NA,35.011,NA,NA,98,"Urban",257104,52.923,-1.4695,1,"Derby","East Midlands","Derby",49.0308,15,30593,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
